	F3D0	F3D1	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
ASV69	47	38	0	0	0	0	0	0	23	0	0	0	38	0	0	55	0	20	28	0
ASV70	0	0	45	0	22	0	0	12	18	18	82	47	0	0	0	0	0	0	0	0
ASV71	41	41	11	0	0	0	0	0	8	0	19	0	102	17	0	0	0	0	0	0
ASV72	0	10	16	0	13	0	0	12	0	14	67	18	32	9	0	15	8	7	12	0
ASV73	92	12	22	0	18	0	0	0	0	0	0	0	37	0	0	16	0	17	15	0
ASV74	0	0	0	0	11	10	0	15	45	13	0	31	0	0	0	0	0	43	60	0
ASV75	128	0	6	4	0	6	14	0	18	31	13	6	0	0	0	0	0	0	0	0
ASV76	0	12	0	0	0	0	5	12	0	0	8	4	20	21	15	30	14	37	48	0
ASV77	0	0	30	0	15	0	0	9	25	21	74	52	0	0	0	0	0	0	0	0
ASV78	26	3	17	0	0	0	6	6	12	16	14	0	38	19	11	9	19	8	18	0
ASV79	10	12	0	0	0	0	0	7	66	18	23	0	16	0	9	38	0	6	12	0
ASV80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216
ASV81	5	20	12	0	9	0	0	11	41	7	24	11	12	7	12	12	7	12	13	0
ASV82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211
ASV83	0	15	7	0	0	0	9	19	18	5	13	12	37	0	13	17	5	13	25	0
ASV84	14	0	0	0	0	0	0	0	11	23	19	0	29	0	23	18	10	17	38	0
ASV85	0	2	0	0	0	0	0	0	5	0	0	0	6	0	4	0	2	3	0	179
ASV86	24	11	0	0	0	0	0	13	9	0	0	0	46	0	12	32	0	21	24	0
ASV87	7	12	9	13	11	0	14	0	34	21	17	0	24	0	5	12	0	6	7	0
ASV88	46	52	0	0	0	0	0	0	0	0	0	0	61	11	18	0	0	0	0	0
ASV89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181
ASV90	0	31	0	0	3	0	3	3	18	18	7	0	6	15	18	16	18	13	10	0
ASV91	0	0	0	0	0	0	0	34	20	16	14	0	0	0	0	0	6	46	41	0
ASV92	17	0	0	0	14	0	9	0	24	0	0	0	43	0	13	11	0	17	28	0
ASV93	0	19	0	15	0	14	0	26	33	13	17	0	38	0	0	0	0	0	0	0
ASV94	0	0	0	0	0	0	0	0	0	39	0	0	38	0	55	34	0	0	0	0
ASV95	0	43	0	0	0	0	0	0	0	0	0	0	76	0	0	0	7	35	0	0
ASV96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157
ASV97	0	0	15	0	5	11	10	16	11	18	35	17	9	0	0	6	3	0	0	0
ASV98	6	0	13	5	0	0	13	13	0	22	31	27	9	0	10	0	0	0	6	0
ASV99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150
ASV100	0	0	0	0	0	0	0	0	67	0	27	0	54	0	0	0	0	0	0	0
ASV101	0	0	10	6	0	0	0	14	14	19	60	23	0	0	0	0	0	0	0	0
ASV102	0	0	9	0	6	10	14	13	0	23	42	12	0	0	6	11	0	0	0	0
ASV103	0	4	8	0	0	3	5	14	11	9	23	11	19	6	6	5	0	9	8	0
ASV104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140
ASV105	0	0	20	0	6	6	0	16	30	15	0	9	23	0	0	0	0	0	0	0
ASV106	13	0	0	0	0	0	9	0	21	14	0	0	36	15	0	0	0	0	11	0
ASV107	4	7	0	0	0	0	0	0	0	0	0	0	32	2	0	19	8	26	19	0
ASV108	0	0	0	0	0	8	0	0	25	0	24	14	0	0	12	14	0	17	0	0
ASV109	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	112
ASV110	22	0	0	0	0	0	0	8	0	0	5	0	16	0	0	24	0	14	24	0
ASV111	0	0	7	0	0	0	4	0	0	0	0	14	0	0	26	30	0	0	32	0
ASV112	9	17	0	0	0	0	0	0	0	0	0	0	46	0	12	11	0	12	0	0
ASV113	0	0	14	5	6	3	10	14	0	15	24	10	0	0	6	0	0	0	0	0
ASV114	0	8	0	0	0	0	0	0	0	0	0	0	26	5	11	29	7	11	8	0
ASV115	0	0	0	0	0	0	0	13	16	6	41	23	0	0	0	0	0	0	0	0
ASV116	7	24	11	0	0	0	0	0	0	0	19	8	21	0	0	0	0	7	0	0
ASV117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97
ASV118	19	24	0	0	0	0	0	0	0	0	0	0	32	0	0	0	11	10	0	0
ASV119	0	0	0	11	0	12	16	11	11	12	0	9	0	0	0	0	2	11	0	0
ASV120	0	0	0	0	0	0	0	0	0	0	8	0	37	22	16	11	0	0	0	0
ASV121	10	0	4	7	6	0	6	16	13	13	9	5	3	0	0	0	0	0	0	0
ASV122	11	6	0	0	0	0	0	0	13	0	11	9	12	0	5	8	0	9	7	0
ASV123	0	0	0	0	0	0	0	17	0	0	0	0	21	0	0	20	0	0	33	0
ASV124	34	15	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0
ASV125	0	0	10	0	0	0	0	11	8	9	32	19	0	0	0	0	0	0	0	0
ASV126	16	15	0	0	0	0	0	0	10	0	18	10	0	0	0	0	0	16	0	0
ASV127	10	7	0	0	0	0	0	0	0	0	0	0	35	12	0	0	0	9	11	0
ASV128	0	0	10	0	12	0	0	0	0	0	26	11	13	12	0	0	0	0	0	0
ASV129	0	0	0	0	0	0	0	0	0	24	43	12	0	0	0	0	0	0	0	0
ASV130	19	18	0	0	0	0	0	7	0	0	0	0	30	0	0	0	0	0	0	0
ASV131	0	0	0	0	0	0	0	12	13	11	12	7	0	0	0	14	0	0	0	0
ASV132	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	19	17	14	14	0
ASV133	0	31	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0
ASV134	0	0	13	0	0	0	0	0	0	0	0	0	13	0	0	0	0	17	22	0
ASV135	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0
ASV136	0	26	0	0	0	0	0	21	0	0	0	0	17	0	0	0	0	0	0	0
ASV137	19	7	0	0	0	0	0	11	0	0	0	0	10	0	9	0	0	0	7	0
ASV138	7	0	6	0	0	0	0	0	0	0	0	0	39	0	9	0	0	0	0	0
ASV139	0	9	0	0	0	0	0	0	0	0	0	10	9	0	0	13	0	11	7	0
ASV140	0	0	6	0	0	0	0	0	0	11	17	0	0	0	0	0	0	10	15	0
ASV141	17	11	0	0	0	0	0	0	0	0	0	0	21	0	0	9	0	0	0	0
ASV142	0	0	0	3	10	0	15	0	15	11	4	0	0	0	0	0	0	0	0	0
ASV143	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV144	0	7	0	0	0	0	0	0	0	0	10	0	7	0	8	0	0	16	9	0
ASV145	16	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	11	13	0
ASV146	8	7	0	0	0	0	2	0	0	5	0	0	14	0	2	5	0	5	6	0
ASV147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
ASV148	0	9	0	0	0	0	3	0	4	4	7	0	10	0	4	4	0	0	5	0
ASV149	0	3	0	0	0	0	0	0	0	9	15	0	10	4	4	0	2	3	0	0
ASV150	0	0	0	0	0	0	0	0	9	0	26	15	0	0	0	0	0	0	0	0
ASV151	0	3	0	0	0	0	0	0	0	0	0	0	8	0	9	9	0	0	19	0
ASV152	0	0	0	0	6	0	0	0	0	17	24	0	0	0	0	0	0	0	0	0
ASV153	7	0	0	4	0	0	5	0	5	4	6	6	5	0	0	0	0	3	0	0
ASV154	0	29	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV155	0	0	0	0	0	0	0	0	0	0	22	23	0	0	0	0	0	0	0	0
ASV156	0	0	0	0	0	0	0	0	0	0	26	0	18	0	0	0	0	0	0	0
ASV157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0
ASV158	9	0	0	0	0	0	7	5	0	0	12	9	0	0	0	0	0	0	0	0
ASV159	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	17	0
ASV160	19	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	7	0
ASV161	0	0	0	0	4	0	0	0	0	0	15	0	20	0	0	0	0	0	0	0
ASV162	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0
ASV163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
ASV164	0	3	0	0	0	0	0	0	0	0	0	0	20	0	0	4	0	0	10	0
ASV165	0	0	0	0	0	0	0	10	15	0	12	0	0	0	0	0	0	0	0	0
ASV166	21	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	0	0	0	0
ASV167	10	6	0	0	0	0	0	11	0	0	0	0	8	0	0	0	0	0	0	0
ASV168	0	0	0	0	0	0	4	0	6	15	9	0	0	0	0	0	0	0	0	0
ASV169	0	0	0	0	0	0	0	0	13	0	7	0	0	11	3	0	0	0	0	0
ASV170	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	10	0
ASV171	0	0	0	0	0	0	0	0	9	5	0	0	8	0	0	0	0	0	9	0
ASV172	9	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
ASV173	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	8	0	0	0	0
ASV174	0	0	0	0	0	0	0	0	12	7	6	0	0	0	0	0	0	0	0	0
ASV175	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	0	9	0
ASV176	0	0	0	0	0	0	0	0	5	9	8	0	0	0	0	0	0	3	0	0
ASV177	10	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV178	6	0	0	0	0	0	0	0	0	9	0	0	0	7	0	0	0	0	0	0
ASV179	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	5	8	0	0
ASV180	0	6	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV181	0	0	0	0	0	0	0	6	0	6	9	0	0	0	0	0	0	0	0	0
ASV182	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	16	0
ASV183	3	0	0	0	0	0	0	0	0	0	5	0	3	0	0	9	0	0	0	0
ASV184	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
ASV185	0	0	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	5	0
ASV186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
ASV187	5	0	3	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0
ASV188	3	0	0	0	0	0	4	0	11	0	0	0	0	0	0	0	0	0	0	0
ASV189	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
ASV190	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	9	0
ASV191	10	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV192	0	0	0	0	0	0	0	0	0	0	0	0	10	0	7	0	0	0	0	0
ASV193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ASV195	0	0	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV196	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV197	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	5	0
ASV198	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV199	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ASV200	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0
ASV201	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	4	0	0
ASV202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0
ASV203	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV204	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV205	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	0
ASV206	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ASV207	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	0	0	0	3	0
ASV208	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV209	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0
ASV210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0
ASV211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ASV212	0	0	0	2	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0
ASV213	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ASV214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
ASV215	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV216	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
ASV217	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV218	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV219	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV220	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ASV221	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ASV222	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ASV223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ASV224	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV225	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV226	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV227	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV228	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV230	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV231	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV232	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
