	domain	phylum	class	order	family	genus	species
ASV57	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV58	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	NA
ASV59	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV60	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	Anaeroplasma	NA
ASV61	Bacteria	Firmicutes	Bacilli	RF39	NA	NA	NA
ASV62	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	unclassified_Clostridiaceae	NA
ASV63	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
ASV64	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	unclassified_Oscillospiraceae	NA
ASV65	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	NA
ASV66	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV67	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA
ASV68	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
ASV69	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	NA
ASV70	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV71	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV72	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-006	NA
ASV73	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV74	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
ASV75	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	unclassified_Clostridiaceae	NA
ASV76	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
ASV77	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV78	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA
ASV79	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV80	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV81	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
ASV82	Bacteria	Firmicutes	Bacilli	Lactobacillales	unclassified_Lactobacillales	NA	NA
ASV83	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
ASV84	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
ASV85	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	unclassified_Enterobacterales	NA	NA
ASV86	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
ASV87	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae	NA
